Exp_Vac,Exp_Unv,Inf_Vac,Inf_Unv,DailyVE
35565,35033,21,53,0.2451159832367023
35546,34987,19,46,0.24549512651549146
35524,34922,22,65,0.24587368514670116
35507,34875,17,47,0.24625166182663838
35483,34820,24,55,0.2466290592309488
35454,34778,29,42,0.247005880014838
35438,34729,16,49,0.24738212681328986
35422,34676,16,53,0.2477578022412783
35404,34632,18,44,0.24813290889398443
35377,34579,27,53,0.24850744934700086
35365,34521,12,58,0.248881426156542
35345,34467,20,54,0.24925484185964408
35323,34421,22,46,0.24962769897436854
35303,34360,20,61,0.25
35284,34308,19,52,0.25037174741723917
35261,34260,23,48,0.2507429436883994
35245,34207,16,53,0.2511135912575936
35225,34161,20,46,0.25148369255092373
35202,34112,23,49,0.2518532499766674
35183,34061,19,51,0.25222226592545594
35164,34011,19,50,0.25259074277046134
35145,33965,19,46,0.25295868286756856
35120,33910,25,55,0.2533260885555553
35097,33858,23,52,0.25369296215626314
35076,33817,21,41,0.25405930597476856
35054,33766,22,51,0.2544251222995536
35031,33710,23,56,0.25479041340267244
35016,33661,15,49,0.2551551815399143
35000,33606,16,55,0.25551942895096746
34984,33569,16,37,0.25588315785957927
34962,33517,22,52,0.25624637047371485
34941,33483,21,34,0.25660906898571245
34916,33435,25,48,0.2569712555724397
34898,33387,18,48,0.25733293239544436
34877,33348,21,39,0.25769410160110373
34858,33302,19,46,0.2580547653207781
34845,33254,13,48,0.2584149256709523
34827,33202,18,52,0.2587745847533826
34808,33161,19,41,0.25913374465524075
34787,33109,21,52,0.2594924074492539
34762,33062,25,47,0.2598505751938434
34736,33011,26,51,0.2602082499332669
34712,32962,24,49,0.26056543369774743
34691,32917,21,45,0.2609221285036154
34664,32870,27,47,0.2612783363534352
34643,32832,21,38,0.261634059236142
34623,32789,20,43,0.26198929912716407
34604,32745,19,44,0.26234405798856003
34585,32707,19,38,0.26269833776913554
34568,32673,17,34,0.2630521404045755
34558,32641,10,32,0.26340546781756524
34537,32608,21,33,0.26375832191791093
34516,32564,21,44,0.26411070460266145
34489,32526,27,38,0.2644626177562269
34470,32493,19,33,0.26481406325049706
34435,32450,35,43,0.26516504294495535
34413,32397,22,53,0.26551555868679677
34396,32362,17,35,0.26586561231103917
34375,32317,21,45,0.2662152056406354
34362,32276,13,41,0.26656434048658406
34347,32239,15,37,0.26691301864804073
34329,32200,18,39,0.26726124191242423
34305,32178,24,22,0.26760901205552334
34284,32138,21,40,0.2679563308416044
34262,32104,22,34,0.26830320002351327
34246,32068,16,36,0.2686496213427798
34227,32033,19,35,0.2689955965297219
34208,31985,19,48,0.26934112730354215
34183,31940,25,45,0.26968621537242965
34154,31904,29,36,0.27003086243366076
34139,31856,15,48,0.27037507017369156
34114,31820,25,36,0.27071884026825743
34099,31783,15,37,0.27106217438247
34074,31741,25,42,0.2714050741709049
34059,31710,15,31,0.2717475412777015
34040,31672,19,38,0.2720895773366525
34023,31618,17,54,0.27243118397129235
34004,31584,19,34,0.2727723627949904
33981,31541,23,43,0.27311311541103933
33961,31496,20,45,0.27345344341274164
33929,31460,32,36,0.273793348383498
33916,31423,13,37,0.2741328318968918
33901,31392,15,31,0.274471895516775
33877,31355,24,37,0.27481054079735223
